Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,RelevantEducationLevel,JobLevel,JobRole,MaritalStatus,NumCompaniesWorked,OverTime,InterviewScore,ResumeScore,RequestedBenefits,TotalWorkingYears,PreferredSkills,YearsAtCurrentCompany,RelevantExperience,JobType,SalaryExpectation,Ethnicity,Gender,HIRED
38,Travel_Rarely,Research & Development,2,Master,Life Sciences,High,Intermediate,Manufacturing Director,Married,9,No,High,Average,No,14,High,1,0,contract,Average,minority,Male,NO
27,Travel_Frequently,Research & Development,1,Below College,Technical Degree,Medium,Intermediate,Manufacturing Director,Married,5,No,Low,High,Yes,6,Low,2,2,contract,High,non-minority,Female,NO
49,Non-Travel,Research & Development,18,Master,Life Sciences,High,Intermediate,Manufacturing Director,Divorced,1,Yes,Outstanding,Low,No,7,Low,7,7,contract,Average,non-minority,Male,NO
38,Travel_Rarely,Research & Development,29,Below College,Medical,High,Intermediate,Healthcare Representative,Married,7,Yes,Low,Average,No,17,Medium,1,0,full_time,High,minority,Female,NO
36,Travel_Frequently,Research & Development,18,Below College,Medical,High,Entry Level,Laboratory Technician,Single,1,No,Outstanding,Low,No,8,Medium,8,1,contract,Average,non-minority,Female,NO
40,Non-Travel,Research & Development,9,Doctorate,Life Sciences,Medium,Intermediate,Healthcare Representative,Married,9,No,Outstanding,Outstanding,Yes,5,Medium,3,2,full_time,Average,non-minority,Male,NO
46,Travel_Rarely,Research & Development,1,Master,Medical,High,Experienced,Healthcare Representative,Divorced,7,No,Low,High,Yes,17,High,4,2,full_time,Average,non-minority,Male,NO
30,Travel_Rarely,Research & Development,3,Bachelor,Technical Degree,High,Entry Level,Research Scientist,Single,5,Yes,Low,High,No,8,Medium,0,2,full_time,Low,non-minority,Female,NO
32,Travel_Rarely,Sales,6,Bachelor,Life Sciences,High,Experienced,Manager,Single,3,Yes,Outstanding,High,No,16,High,1,0,contract,High,minority,Female,NO
30,Travel_Frequently,Sales,26,Master,Marketing,Medium,Intermediate,Sales Executive,Single,5,No,Low,High,No,9,Medium,0,3,full_time,High,non-minority,Female,NO
54,Travel_Rarely,Sales,3,Bachelor,Marketing,High,Intermediate,Sales Executive,Married,2,No,Low,Outstanding,Yes,16,High,6,2,full_time,Average,non-minority,Female,NO
33,Travel_Rarely,Research & Development,4,Master,Medical,Medium,Entry Level,Research Scientist,Married,6,No,Low,Outstanding,No,7,High,3,2,contract,High,minority,Female,NO
37,Travel_Frequently,Research & Development,11,Bachelor,Other,High,Experienced,Research Director,Divorced,1,Yes,Outstanding,High,Yes,10,Low,10,8,full_time,Average,non-minority,Male,NO
38,Travel_Rarely,Sales,3,Bachelor,Life Sciences,High,Experienced,Sales Executive,Divorced,0,No,High,High,No,17,Medium,16,10,full_time,Average,non-minority,Male,NO
59,Travel_Rarely,Research & Development,3,Bachelor,Life Sciences,Medium,Entry Level,Research Scientist,Married,3,No,Outstanding,Low,Yes,7,Medium,1,0,full_time,High,non-minority,Female,NO
37,Travel_Frequently,Sales,4,Master,Marketing,High,Entry Level,Sales Representative,Divorced,4,No,Outstanding,High,Yes,13,Medium,9,8,full_time,High,non-minority,Male,NO
29,Travel_Rarely,Research & Development,18,Below College,Medical,Medium,Entry Level,Research Scientist,Single,1,Yes,Outstanding,High,No,4,High,4,3,full_time,Average,non-minority,Male,NO
52,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,Medium,Entry Level,Laboratory Technician,Single,7,No,Outstanding,Average,No,6,High,0.3,2,full_time,High,non-minority,Female,NO
42,Travel_Rarely,Research & Development,4,College,Technical Degree,High,Experienced,Manager,Married,1,No,Outstanding,Outstanding,No,22,High,22,17,full_time,Low,non-minority,Male,NO
59,Travel_Rarely,Human Resources,6,College,Medical,High,Entry Level,Human Resources,Married,8,No,High,Outstanding,No,7,Medium,2,2,contract,High,non-minority,Male,NO
33,Travel_Rarely,Research & Development,2,College,Life Sciences,High,Entry Level,Laboratory Technician,Married,7,No,Low,Low,No,13,High,9,7,full_time,High,non-minority,Female,NO
52,Non-Travel,Sales,2,Master,Life Sciences,Medium,Experienced,Manager,Single,1,Yes,High,Outstanding,No,33,Medium,33,7,contract,High,non-minority,Male,NO
32,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,Medium,Entry Level,Laboratory Technician,Single,0,Yes,High,Outstanding,No,4,Medium,3,2,full_time,Average,non-minority,Male,NO
39,Travel_Rarely,Research & Development,1,Master,Medical,High,Entry Level,Laboratory Technician,Divorced,7,No,High,High,Yes,7,Low,3,2,full_time,Average,non-minority,Female,NO
32,Non-Travel,Sales,26,Master,Marketing,High,Intermediate,Sales Executive,Married,0,No,Outstanding,Low,No,4,Medium,3,2,full_time,High,non-minority,Male,NO
41,Travel_Rarely,Research & Development,19,College,Life Sciences,High,Intermediate,Research Scientist,Divorced,2,No,Low,Low,No,17,Medium,1,0,full_time,Average,minority,Male,NO
40,Travel_Rarely,Research & Development,24,College,Technical Degree,High,Intermediate,Research Scientist,Divorced,1,No,Outstanding,Low,No,9,High,9,8,full_time,High,non-minority,Male,NO
45,Travel_Rarely,Research & Development,1,Bachelor,Other,Very High,Experienced,Manager,Married,0,No,Outstanding,High,Yes,25,Medium,24,0,full_time,Low,non-minority,Male,NO
31,Travel_Frequently,Research & Development,3,Master,Medical,High,Experienced,Research Director,Divorced,9,No,Low,Low,Yes,9,High,2,2,contract,Average,minority,Male,NO
33,Travel_Rarely,Research & Development,5,Master,Life Sciences,Medium,Entry Level,Research Scientist,Married,1,No,Outstanding,High,Yes,2,Medium,2,2,full_time,Average,non-minority,Female,NO
34,Travel_Rarely,Research & Development,2,Master,Life Sciences,Medium,Intermediate,Manufacturing Director,Married,6,No,Low,Average,Yes,13,High,11,9,full_time,Average,non-minority,Male,NO
37,Travel_Rarely,Research & Development,1,College,Medical,Medium,Entry Level,Research Scientist,Married,2,No,Low,Low,Yes,17,Medium,3,1,contract,High,non-minority,Female,NO
45,Travel_Frequently,Research & Development,7,Master,Life Sciences,Very High,Intermediate,Manufacturing Director,Married,4,No,Low,Outstanding,Yes,9,Low,3,2,full_time,High,minority,Male,NO
37,Travel_Frequently,Research & Development,10,Bachelor,Medical,High,Experienced,Manufacturing Director,Divorced,6,No,High,Average,No,17,Medium,1,0,full_time,Low,non-minority,Male,NO
42,Travel_Rarely,Research & Development,17,College,Life Sciences,Very High,Intermediate,Research Scientist,Single,3,Yes,Low,High,No,10,Low,0.3,2,contract,Average,non-minority,Female,NO
29,Travel_Rarely,Sales,20,College,Marketing,High,Intermediate,Sales Executive,Divorced,2,No,Outstanding,Outstanding,Yes,10,Medium,3,2,full_time,Average,non-minority,Male,NO
25,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,High,Intermediate,Manufacturing Director,Married,0,No,Low,Outstanding,No,5,High,4,2,contract,High,minority,Female,NO
42,Travel_Rarely,Research & Development,2,Bachelor,Medical,Medium,Entry Level,Laboratory Technician,Divorced,0,Yes,Low,High,Yes,10,High,9,6,full_time,Low,non-minority,Female,NO
40,Travel_Rarely,Research & Development,2,College,Medical,High,Experienced,Research Director,Divorced,0,No,Low,Outstanding,Yes,22,Medium,21,7,contract,High,minority,Female,NO
51,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,High,Entry Level,Research Scientist,Married,1,No,Outstanding,Average,No,1,Low,1,0,full_time,Low,non-minority,Male,NO
31,Travel_Frequently,Research & Development,29,College,Medical,Medium,Entry Level,Laboratory Technician,Single,0,No,Low,Average,No,6,Medium,5,4,full_time,Low,minority,Male,NO
32,Travel_Frequently,Research & Development,7,Bachelor,Life Sciences,Very High,Entry Level,Laboratory Technician,Married,1,No,Average,High,No,5,High,5,1,contract,High,non-minority,Female,NO
32,Travel_Rarely,Research & Development,2,Below College,Technical Degree,Medium,Intermediate,Laboratory Technician,Single,4,No,Low,Outstanding,No,9,Medium,6,2,contract,Average,non-minority,Male,NO
28,Travel_Rarely,Research & Development,2,Master,Life Sciences,High,Entry Level,Laboratory Technician,Single,2,No,High,High,No,5,Medium,0,0,contract,Low,minority,Male,NO
29,Travel_Rarely,Sales,2,Bachelor,Medical,Medium,Intermediate,Sales Executive,Married,2,No,Average,Average,No,10,Medium,0,0,contract,High,non-minority,Male,NO
31,Travel_Rarely,Research & Development,23,Bachelor,Medical,Medium,Intermediate,Healthcare Representative,Married,0,No,Outstanding,Average,Yes,10,Medium,9,0,full_time,High,non-minority,Male,NO
25,Non-Travel,Research & Development,5,College,Life Sciences,Very High,Intermediate,Healthcare Representative,Divorced,1,No,Low,Outstanding,No,6,Medium,6,3,full_time,Average,non-minority,Male,NO
45,Travel_Rarely,Research & Development,20,College,Medical,High,Experienced,Healthcare Representative,Married,0,Yes,Outstanding,Average,No,21,Medium,20,7,full_time,Average,non-minority,Male,NO
55,Travel_Rarely,Research & Development,1,Bachelor,Medical,High,Experienced,Manager,Single,0,Yes,Low,High,No,37,Medium,36,10,full_time,Average,non-minority,Male,NO
47,Non-Travel,Research & Development,29,Master,Life Sciences,High,Experienced,Manager,Married,1,Yes,Low,Outstanding,Yes,10,Medium,10,7,full_time,Average,minority,Male,NO
28,Travel_Rarely,Research & Development,9,Bachelor,Medical,High,Entry Level,Research Scientist,Married,1,No,Outstanding,Outstanding,Yes,5,High,5,2,full_time,High,non-minority,Male,NO
37,Travel_Rarely,Sales,6,Master,Medical,High,Intermediate,Sales Executive,Married,4,No,Outstanding,Average,Yes,7,Medium,5,4,full_time,Average,non-minority,Male,NO
21,Travel_Rarely,Research & Development,3,College,Medical,Medium,Entry Level,Research Scientist,Single,1,No,High,Low,No,3,High,3,2,full_time,High,non-minority,Female,NO
35,Travel_Rarely,Research & Development,22,Bachelor,Life Sciences,Very High,Experienced,Manager,Divorced,7,No,Average,Average,Yes,10,Medium,7,7,full_time,High,non-minority,Female,NO
38,Travel_Rarely,Sales,7,College,Medical,Very High,Intermediate,Sales Executive,Divorced,1,Yes,Low,High,Yes,8,High,0.6,0,full_time,High,non-minority,Female,NO
26,Travel_Frequently,Research & Development,11,College,Medical,High,Intermediate,Healthcare Representative,Married,1,Yes,Low,High,Yes,5,High,5,3,full_time,Average,non-minority,Male,NO
37,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,High,Entry Level,Research Scientist,Single,1,No,Outstanding,Average,No,17,High,17,12,full_time,Average,non-minority,Female,NO
44,Travel_Frequently,Research & Development,24,Bachelor,Life Sciences,High,Entry Level,Laboratory Technician,Divorced,3,Yes,High,Outstanding,Yes,19,Low,1,0,full_time,High,non-minority,Male,NO
38,Travel_Rarely,Research & Development,23,Master,Life Sciences,High,Intermediate,Healthcare Representative,Divorced,9,No,Outstanding,Average,Yes,10,Medium,2,2,full_time,Average,non-minority,Male,NO
26,Travel_Rarely,Research & Development,16,Master,Medical,High,Entry Level,Laboratory Technician,Divorced,2,Yes,Low,Outstanding,Yes,5,Medium,3,2,full_time,Average,minority,Male,NO
28,Travel_Rarely,Research & Development,8,College,Life Sciences,High,Entry Level,Research Scientist,Single,1,No,Outstanding,Outstanding,No,5,High,5,3,full_time,High,non-minority,Female,NO
49,Travel_Frequently,Research & Development,10,Master,Life Sciences,High,Experienced,Research Director,Single,9,Yes,Low,Outstanding,No,22,High,3,2,full_time,Low,non-minority,Female,NO
31,Travel_Frequently,Sales,5,Bachelor,Marketing,High,Entry Level,Sales Representative,Divorced,1,No,Average,High,Yes,2,Medium,2,2,full_time,Low,non-minority,Female,NO
26,Travel_Rarely,Sales,4,Master,Marketing,Medium,Intermediate,Sales Executive,Single,1,Yes,Outstanding,Average,No,8,Low,8,7,full_time,Average,non-minority,Male,NO
37,Travel_Frequently,Research & Development,9,Bachelor,Medical,High,Entry Level,Research Scientist,Married,1,Yes,Outstanding,High,Yes,4,High,4,2,full_time,Average,non-minority,Male,NO
18,Travel_Rarely,Research & Development,3,Bachelor,Life Sciences,High,Entry Level,Laboratory Technician,Single,1,No,Low,High,No,0,Medium,0,0,full_time,Average,minority,Male,NO
36,Travel_Frequently,Research & Development,18,Master,Life Sciences,Very High,Entry Level,Laboratory Technician,Married,4,No,Outstanding,Outstanding,No,4,Medium,1,0,contract,High,minority,Male,NO
41,Travel_Rarely,Sales,2,Master,Life Sciences,High,Experienced,Manager,Single,1,No,Average,Average,No,22,Medium,22,10,full_time,High,non-minority,Female,NO
18,Travel_Rarely,Sales,10,Bachelor,Medical,Medium,Entry Level,Sales Representative,Single,1,No,High,Low,No,0,Medium,0,0,contract,High,non-minority,Female,NO
28,Travel_Rarely,Research & Development,16,College,Medical,Very High,Intermediate,Healthcare Representative,Single,0,No,Low,High,No,9,Medium,8,3,full_time,High,non-minority,Male,NO
58,Non-Travel,Research & Development,1,Master,Life Sciences,Low,Intermediate,Healthcare Representative,Divorced,2,Yes,High,Outstanding,Yes,12,Medium,5,3,full_time,Average,non-minority,Male,NO
31,Travel_Rarely,Research & Development,5,Master,Technical Degree,High,Entry Level,Research Scientist,Married,0,Yes,Outstanding,High,Yes,6,High,5,2,contract,Average,non-minority,Male,NO
31,Travel_Rarely,Human Resources,2,Bachelor,Human Resources,Medium,Intermediate,Human Resources,Married,3,No,Low,Outstanding,No,9,Low,2,2,full_time,Average,non-minority,Male,NO
45,Travel_Frequently,Research & Development,7,Bachelor,Life Sciences,High,Experienced,Laboratory Technician,Divorced,1,No,Low,Low,Yes,24,Medium,24,9,full_time,High,non-minority,Female,NO
31,Travel_Rarely,Research & Development,2,Master,Life Sciences,High,Entry Level,Research Scientist,Divorced,0,Yes,Outstanding,Average,Yes,3,Medium,2,2,full_time,High,non-minority,Female,NO
39,Travel_Rarely,Research & Development,10,Below College,Medical,High,Experienced,Manager,Married,1,Yes,Low,Outstanding,No,21,High,21,9,contract,Average,non-minority,Male,NO
27,Travel_Rarely,Research & Development,5,Bachelor,Life Sciences,High,Entry Level,Research Scientist,Single,1,Yes,Low,Average,No,4,Medium,4,3,full_time,High,minority,Female,NO
32,Travel_Rarely,Sales,8,College,Technical Degree,Medium,Intermediate,Sales Executive,Married,1,Yes,Low,Outstanding,No,13,Medium,0,12,contract,Low,minority,Female,NO
27,Travel_Rarely,Sales,2,Bachelor,Life Sciences,High,Intermediate,Sales Executive,Single,1,Yes,Low,Low,No,5,High,5,4,full_time,Low,minority,Male,NO
28,Travel_Rarely,Research & Development,2,Master,Medical,Low,Entry Level,Research Scientist,Married,5,Yes,Outstanding,Outstanding,No,5,High,3,2,full_time,Average,non-minority,Male,NO
39,Travel_Rarely,Sales,3,College,Medical,High,Intermediate,Sales Executive,Married,4,Yes,High,Low,No,12,High,1,0,full_time,High,minority,Female,NO
33,Travel_Frequently,Sales,10,Bachelor,Marketing,Medium,Intermediate,Sales Executive,Single,3,No,Outstanding,High,No,9,Medium,7,7,full_time,Average,non-minority,Male,NO
47,Travel_Rarely,Research & Development,5,Doctorate,Life Sciences,High,Experienced,Research Director,Married,4,No,Low,Average,Yes,21,Medium,3,2,full_time,Low,minority,Male,NO
43,Travel_Frequently,Research & Development,10,Master,Life Sciences,Medium,Intermediate,Laboratory Technician,Divorced,1,No,Low,Average,Yes,9,High,9,7,full_time,Low,minority,Female,NO
54,Travel_Frequently,Research & Development,20,Master,Life Sciences,High,Intermediate,Research Scientist,Single,3,No,High,Outstanding,No,20,High,4,3,full_time,Average,non-minority,Female,NO
43,Travel_Rarely,Research & Development,7,Bachelor,Life Sciences,High,Experienced,Healthcare Representative,Married,8,No,Low,Low,Yes,10,Low,1,0,contract,Average,minority,Female,NO
40,Travel_Rarely,Sales,1,College,Medical,Low,Intermediate,Sales Executive,Married,2,Yes,Outstanding,High,Yes,6,Medium,4,3,full_time,High,non-minority,Male,NO
29,Travel_Rarely,Research & Development,8,Master,Other,Low,Entry Level,Laboratory Technician,Married,1,Yes,Low,Outstanding,No,7,High,7,7,full_time,Low,non-minority,Male,NO
29,Travel_Rarely,Research & Development,9,Doctorate,Other,Medium,Entry Level,Laboratory Technician,Single,0,No,Outstanding,High,No,4,Medium,3,2,full_time,High,non-minority,Male,NO
30,Travel_Rarely,Sales,5,Bachelor,Marketing,Medium,Intermediate,Sales Executive,Divorced,1,No,Low,High,Yes,10,Medium,10,9,contract,High,minority,Female,NO
27,Travel_Rarely,Sales,8,Master,Marketing,High,Intermediate,Sales Executive,Married,1,No,Low,Low,Yes,8,High,8,7,contract,High,minority,Female,NO
23,Travel_Rarely,Research & Development,26,Below College,Life Sciences,High,Entry Level,Research Scientist,Divorced,1,No,Outstanding,High,No,4,Medium,4,2,contract,Average,non-minority,Male,NO
41,Travel_Rarely,Research & Development,6,Bachelor,Medical,Medium,Intermediate,Manufacturing Director,Single,6,Yes,Low,Outstanding,No,8,High,5,4,contract,Average,minority,Male,NO
47,Travel_Frequently,Sales,4,Below College,Medical,High,Intermediate,Sales Representative,Single,3,No,Low,Low,No,5,High,0,0,full_time,High,minority,Male,NO
42,Travel_Rarely,Research & Development,23,Doctorate,Life Sciences,High,Experienced,Research Director,Single,2,No,Outstanding,Average,No,16,Medium,1,0,full_time,High,minority,Female,NO
42,Travel_Rarely,Human Resources,2,Below College,Technical Degree,High,Entry Level,Human Resources,Divorced,0,Yes,High,High,Yes,4,Medium,3,2,full_time,Low,non-minority,Male,NO
48,Travel_Rarely,Sales,29,Below College,Medical,High,Experienced,Manager,Married,3,No,High,Average,Yes,15,High,0,0,full_time,High,minority,Female,NO
37,Travel_Rarely,Research & Development,6,Bachelor,Medical,Very High,Intermediate,Research Scientist,Divorced,4,Yes,Low,Low,No,13,Medium,7,7,full_time,Average,non-minority,Male,NO
30,Non-Travel,Sales,25,College,Technical Degree,High,Intermediate,Sales Executive,Married,7,Yes,Low,Average,Yes,4,Medium,2,2,full_time,High,minority,Female,NO
42,Travel_Rarely,Research & Development,2,Master,Other,Medium,Intermediate,Healthcare Representative,Single,3,No,Outstanding,Average,No,14,Medium,1,0,full_time,High,minority,Male,NO
21,Travel_Frequently,Sales,1,Below College,Technical Degree,Medium,Entry Level,Sales Representative,Single,1,Yes,Low,High,No,3,High,0.6,2,full_time,Low,minority,Female,NO
36,Non-Travel,Sales,1,Doctorate,Medical,High,Intermediate,Sales Executive,Single,4,No,Outstanding,Average,No,7,Medium,1,0,contract,Average,minority,Female,NO
57,Travel_Rarely,Research & Development,1,Master,Medical,High,Intermediate,Healthcare Representative,Married,2,No,Low,High,No,15,Medium,3,2,full_time,Low,minority,Male,NO
21,Non-Travel,Sales,9,College,Medical,High,Entry Level,Sales Representative,Single,1,No,Outstanding,High,No,3,High,3,2,full_time,High,non-minority,Female,NO
37,Travel_Rarely,Research & Development,10,Bachelor,Medical,High,Entry Level,Laboratory Technician,Married,6,No,Low,Average,Yes,17,High,5,4,full_time,High,non-minority,Female,NO
46,Non-Travel,Research & Development,7,Master,Medical,High,Intermediate,Manufacturing Director,Married,2,No,High,High,No,7,Medium,1,0,contract,High,minority,Female,NO
50,Travel_Rarely,Research & Development,10,Bachelor,Technical Degree,Medium,Experienced,Healthcare Representative,Single,6,No,Outstanding,Outstanding,No,20,Medium,4,3,full_time,Average,non-minority,Male,NO
31,Travel_Rarely,Research & Development,9,Master,Life Sciences,Medium,Entry Level,Research Scientist,Single,0,Yes,Low,Outstanding,No,3,Medium,2,2,full_time,Average,minority,Male,NO
21,Travel_Rarely,Sales,12,Bachelor,Life Sciences,Very High,Entry Level,Sales Representative,Single,1,No,Average,Outstanding,No,1,Low,1,0,full_time,Average,minority,Female,NO
29,Travel_Rarely,Research & Development,23,Bachelor,Life Sciences,High,Entry Level,Research Scientist,Single,9,No,Outstanding,Outstanding,No,6,High,3,2,full_time,Average,non-minority,Male,NO
35,Travel_Rarely,Research & Development,9,Master,Life Sciences,Medium,Intermediate,Healthcare Representative,Single,9,No,Low,High,No,10,Medium,1,1,full_time,High,minority,Male,NO
28,Travel_Rarely,Sales,9,Master,Life Sciences,High,Intermediate,Sales Executive,Single,1,No,Outstanding,Outstanding,No,7,Low,7,5,full_time,Average,non-minority,Male,NO
36,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,High,Entry Level,Research Scientist,Married,4,No,High,Average,Yes,6,High,2,2,full_time,High,non-minority,Female,NO
34,Non-Travel,Sales,19,Bachelor,Marketing,Very High,Intermediate,Sales Executive,Single,8,Yes,Outstanding,Average,No,9,High,5,2,full_time,Average,non-minority,Male,NO
24,Travel_Rarely,Sales,10,Master,Marketing,High,Intermediate,Sales Executive,Divorced,1,Yes,Low,Outstanding,Yes,5,Medium,5,2,full_time,Average,minority,Female,NO
30,Travel_Rarely,Sales,2,Below College,Technical Degree,High,Entry Level,Sales Representative,Married,1,No,Average,Low,Yes,1,High,1,0,full_time,High,minority,Female,NO
26,Travel_Frequently,Research & Development,3,Below College,Technical Degree,High,Entry Level,Research Scientist,Single,0,No,Low,High,No,7,Medium,6,4,full_time,High,non-minority,Male,NO
30,Travel_Frequently,Research & Development,4,Bachelor,Technical Degree,High,Entry Level,Research Scientist,Single,9,Yes,Outstanding,High,No,3,High,1,0,full_time,High,non-minority,Female,NO
37,Travel_Rarely,Research & Development,14,Bachelor,Life Sciences,High,Entry Level,Laboratory Technician,Divorced,1,No,Low,High,Yes,18,Medium,18,7,contract,High,non-minority,Female,NO
42,Travel_Rarely,Research & Development,1,Master,Life Sciences,High,Entry Level,Laboratory Technician,Divorced,3,No,Low,Average,Yes,8,Medium,5,2,full_time,Average,non-minority,Female,NO
43,Travel_Rarely,Research & Development,12,Bachelor,Life Sciences,Medium,Experienced,Research Director,Divorced,1,No,Low,High,Yes,25,High,25,10,full_time,Low,minority,Male,NO
40,Travel_Rarely,Research & Development,2,Bachelor,Medical,Medium,Intermediate,Laboratory Technician,Married,6,No,High,Average,Yes,20,High,1,0,full_time,High,minority,Female,NO
54,Travel_Rarely,Research & Development,5,College,Medical,High,Experienced,Research Director,Married,4,No,Low,High,Yes,24,High,4,2,full_time,Low,non-minority,Male,NO
34,Non-Travel,Sales,4,Master,Marketing,High,Intermediate,Sales Executive,Married,9,No,High,Low,Yes,6,High,0.3,2,full_time,Average,non-minority,Female,NO
43,Travel_Frequently,Research & Development,21,Bachelor,Medical,High,Entry Level,Laboratory Technician,Married,7,No,Outstanding,Low,Yes,8,Low,3,2,full_time,High,non-minority,Male,NO
43,Travel_Rarely,Research & Development,8,Master,Other,High,Intermediate,Healthcare Representative,Divorced,4,Yes,High,Outstanding,No,8,High,5,2,contract,Average,non-minority,Female,NO
31,Travel_Rarely,Research & Development,1,College,Life Sciences,Medium,Entry Level,Laboratory Technician,Married,1,No,Low,High,Yes,4,High,4,2,full_time,Average,non-minority,Male,NO
39,Travel_Frequently,Research & Development,1,Below College,Life Sciences,High,Experienced,Manager,Divorced,1,Yes,High,High,Yes,21,High,21,8,full_time,Average,non-minority,Male,NO
56,Travel_Frequently,Sales,6,Bachelor,Life Sciences,Very High,Experienced,Sales Executive,Married,9,No,Low,Outstanding,Yes,36,Low,7,7,full_time,Low,non-minority,Female,NO
30,Travel_Rarely,Sales,12,Bachelor,Technical Degree,High,Intermediate,Sales Executive,Single,0,No,High,Average,No,6,Medium,5,4,full_time,Low,non-minority,Female,NO
41,Travel_Rarely,Sales,1,Bachelor,Marketing,Very High,Experienced,Sales Executive,Married,1,No,Low,High,Yes,10,Medium,10,7,full_time,Average,non-minority,Male,NO
28,Travel_Rarely,Research & Development,17,College,Medical,High,Intermediate,Laboratory Technician,Divorced,1,No,Low,Outstanding,Yes,10,Medium,10,0,full_time,Average,non-minority,Male,NO
25,Travel_Rarely,Research & Development,3,Bachelor,Medical,High,Entry Level,Laboratory Technician,Married,5,No,Low,High,Yes,6,Medium,2,2,full_time,Average,non-minority,Male,NO
45,Travel_Rarely,Research & Development,10,College,Life Sciences,High,Entry Level,Research Scientist,Married,3,No,Outstanding,Outstanding,No,8,High,2,2,full_time,High,non-minority,Male,NO
30,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,Low,Intermediate,Manufacturing Director,Single,2,No,Outstanding,High,No,11,Medium,5,4,full_time,High,non-minority,Female,NO
60,Travel_Rarely,Research & Development,7,Bachelor,Life Sciences,High,Experienced,Manager,Married,5,No,Low,Outstanding,No,33,Medium,29,8,full_time,Low,non-minority,Female,NO
42,Travel_Frequently,Research & Development,28,Master,Technical Degree,Medium,Intermediate,Healthcare Representative,Married,0,No,Outstanding,Outstanding,Yes,7,High,6,5,full_time,Low,non-minority,Female,NO
34,Travel_Frequently,Sales,6,College,Marketing,Low,Entry Level,Sales Representative,Divorced,0,No,Low,Outstanding,Yes,3,High,2,2,full_time,Average,minority,Female,NO
38,Travel_Frequently,Research & Development,2,College,Life Sciences,High,Entry Level,Laboratory Technician,Married,1,Yes,Outstanding,High,Yes,1,High,1,0,full_time,High,non-minority,Male,NO
26,Travel_Rarely,Research & Development,23,Bachelor,Life Sciences,High,Entry Level,Research Scientist,Divorced,1,No,Outstanding,Average,No,3,High,3,2,full_time,High,non-minority,Female,NO
29,Travel_Rarely,Research & Development,25,Doctorate,Technical Degree,Medium,Entry Level,Research Scientist,Married,5,No,Low,Average,No,6,Medium,0.6,2,full_time,Average,minority,Female,NO
19,Travel_Rarely,Human Resources,2,College,Technical Degree,Medium,Entry Level,Human Resources,Single,1,No,Outstanding,High,No,1,High,1,0,full_time,Average,minority,Male,NO
30,Non-Travel,Sales,22,Master,Other,High,Experienced,Sales Executive,Married,0,No,Low,High,No,10,High,0.6,8,full_time,Low,non-minority,Female,NO
57,Travel_Rarely,Sales,29,Bachelor,Marketing,Medium,Experienced,Manager,Divorced,3,No,Outstanding,High,Yes,32,High,1,0,full_time,Average,non-minority,Male,NO
50,Travel_Rarely,Research & Development,29,Master,Life Sciences,Medium,Experienced,Manager,Married,0,No,Low,Average,Yes,28,Medium,27,10,contract,Average,minority,Male,NO
60,Travel_Frequently,Sales,28,Bachelor,Marketing,Medium,Experienced,Sales Executive,Married,4,No,Low,Outstanding,No,22,Medium,18,13,contract,High,non-minority,Female,NO
46,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,High,Experienced,Research Director,Married,6,No,High,High,No,26,Medium,3,2,full_time,Average,non-minority,Male,NO
54,Travel_Rarely,Research & Development,8,Master,Life Sciences,High,Intermediate,Laboratory Technician,Single,7,No,High,High,No,19,High,1,0,full_time,Low,non-minority,Female,NO
34,Travel_Rarely,Research & Development,2,Master,Life Sciences,Medium,Entry Level,Research Scientist,Divorced,3,No,High,High,Yes,14,High,7,3,full_time,Average,non-minority,Male,NO
46,Travel_Rarely,Sales,10,Bachelor,Marketing,Medium,Experienced,Sales Executive,Married,2,Yes,Outstanding,High,Yes,15,High,3,2,full_time,High,non-minority,Female,NO
33,Travel_Rarely,Research & Development,15,Below College,Medical,High,Experienced,Manager,Married,7,Yes,Low,Outstanding,No,15,Medium,7,6,full_time,Average,minority,Male,NO
33,Travel_Rarely,Research & Development,10,Below College,Medical,Low,Entry Level,Laboratory Technician,Divorced,7,No,Outstanding,Low,Yes,8,Medium,4,3,full_time,Average,non-minority,Male,NO
30,Travel_Rarely,Sales,7,Below College,Marketing,High,Entry Level,Sales Representative,Single,0,No,Low,Low,No,4,High,3,2,full_time,Average,minority,Male,NO
35,Travel_Rarely,Research & Development,16,Bachelor,Life Sciences,High,Experienced,Healthcare Representative,Married,4,Yes,Low,High,No,10,Medium,8,7,full_time,Average,minority,Male,NO
31,Travel_Frequently,Research & Development,20,Bachelor,Life Sciences,High,Experienced,Healthcare Representative,Married,3,No,High,Low,No,12,Medium,1,0,full_time,Average,minority,Male,NO
42,Travel_Frequently,Research & Development,5,College,Other,High,Entry Level,Laboratory Technician,Married,4,No,Low,Outstanding,Yes,8,High,2,2,full_time,High,minority,Female,NO
